recall,precision,threshold
1.0,0.06830332787779596,0.0002385121186645
1.0,0.06882902693787796,0.0002447481728086
1.0,0.06937825556910118,0.0002517452881023
1.0,0.06991288809470628,0.0002586771308667
1.0,0.07046772105589014,0.0002659812310506
1.0,0.07103949160236042,0.000274160824788
1.0,0.07162061666952692,0.0002814274454003
1.0,0.0721988351306153,0.0002892663978189
1.0,0.07280339594115252,0.0002979417454473
1.0,0.07339234421712879,0.0003060764605352
1.0,0.07400839392327245,0.0003153517252046
1.0,0.07463487332339791,0.0003247882213908
1.0,0.07526752434772153,0.0003348145663124
1.0,0.07591559544021344,0.0003443363492993
1.0,0.07658429165647174,0.0003549643505934
1.0,0.07726010490589325,0.0003670262303018
1.0,0.07793339558045441,0.0003781468857082
1.0,0.07862839917101049,0.0003900796178235
1.0,0.07932585693467654,0.000404754320561
1.0,0.08005626958245413,0.0004170974821697
1.0,0.08080025814778961,0.0004319400882111
1.0,0.08153695864539239,0.0004474116863293
1.0,0.0822872165626027,0.0004648880251048
1.0,0.08306794055201698,0.0004830574878584
1.0,0.083852387649856,0.0005029387252153
1.0,0.08466324046524208,0.0005206091051576
1.0,0.08547825493275073,0.0005435134669627
1.0,0.0863150637711134,0.000568454741893
1.0,0.08715628263139576,0.0005941706859452
1.0,0.08801405975395431,0.0006223898836064
1.0,0.08889520022720818,0.0006535158847709
1.0,0.08979416194506204,0.0006836574405895
1.0,0.09071806390841243,0.0007192690146007
1.0,0.09166117578153599,0.0007513269600539
1.0,0.09261040017752792,0.0007861046909245
1.0,0.09357949024590777,0.0008237308313733
1.0,0.09458336481075773,0.0008681963530555
1.0,0.0956017104459377,0.0009053693275028
1.0,0.09666460778258185,0.0009583341579622
1.0,0.09772088666874805,0.0010053074506759
1.0,0.09881610102604578,0.0010572000272217
1.0,0.0999281666533642,0.0011112807633986
1.0,0.10106554730384243,0.0011703063916375
1.0,0.10222911733485751,0.0012425155211866
1.0,0.10341124969026183,0.001311813374685
1.0,0.10462104119662405,0.0013873656619896
1.0,0.1058594740847214,0.0014646610013144
1.0,0.10711841204654346,0.0015538860553515
1.0,0.10845460845460846,0.0016592587504515
1.0,0.10978603998596984,0.0017858234466195
1.0,0.11115056818181818,0.001895632371469
1.0,0.11253932584269663,0.0020305051567249
1.0,0.11401511702030781,0.0021822450989279
1.0,0.11549815498154982,0.0023444209093978
1.0,0.11703122078893251,0.00251033454039
1.0,0.11858306497442697,0.00270452231846
1.0,0.1201650830214032,0.0029301844633306
1.0,0.12177803715591869,0.0032224043825333
1.0,0.12349575853225488,0.0035078247257187
1.0,0.1252250450090018,0.0038098150677289
1.0,0.1269905669946242,0.0041333600084291
1.0,0.12883309322905948,0.0044815820610809
1.0,0.13075718015665797,0.0049631036455179
1.0,0.1327255380048765,0.0054802122041547
1.0,0.1347250618745292,0.006090729990749
1.0,0.13678575330492734,0.0067812256660967
1.0,0.13892587660896583,0.0075516514287057
1.0,0.1411181244364292,0.0084428707072944
1.0,0.14338066880439762,0.0093551798120462
1.0,0.1457169459962756,0.0104102822110747
1.0,0.148113095942269,0.0115790872230535
1.0,0.15064372518349176,0.0128085474287868
1.0,0.1532435740514076,0.0142329163774141
1.0,0.15591531755915317,0.0158477540258823
1.0,0.1587019901128153,0.0175503265808004
1.0,0.16156923473996646,0.0195172438873451
1.0,0.16456361724500526,0.0220711724595138
1.0,0.1676935440664345,0.0247993975884429
1.0,0.1709448388858547,0.0275389349919513
1.0,0.1743247006404901,0.0305439748242227
1.0,0.17781565118591108,0.034023770176379
1.0,0.18142298217649616,0.0374479916921195
1.0,0.1852619118082273,0.0414053355225417
1.0,0.18918102145663343,0.0466273016572485
1.0,0.19326952763198518,0.051366224484125
1.0,0.1975386557273588,0.0573000857712147
1.0,0.20206584893479665,0.0646059800305351
1.0,0.20666886761307363,0.0727967791809115
1.0,0.21155795876985467,0.0816925266443604
1.0,0.21672148173792627,0.0905852238568078
1.0,0.22218278615794143,0.1042149733866045
1.0,0.2278434940855323,0.1190033998543825
1.0,0.2337565347274085,0.1376809032169614
1.0,0.2399846655165804,0.1559138110056585
1.0,0.24660232420720898,0.1818167499587281
1.0,0.2535953007899534,0.208012036742495
1.0,0.2610508757297748,0.2327785367252549
1.0,0.26890034364261167,0.2554593423371633
1.0,0.2773593265396544,0.2862560953873777
1.0,0.2862368541380887,0.3196314086863276
1.0,0.29563164108618656,0.3570947026875333
1.0,0.30573870573870576,0.3936102292712324
1.0,0.3167214773589679,0.4336566054861442
1.0,0.3282642894598846,0.4819766522908608
1.0,0.3408657772937653,0.5214206158634159
1.0,0.35427277872099605,0.5671560891090219
1.0,0.3687776141384389,0.6152177724267692
1.0,0.3845208845208845,0.6614239293855222
0.9992012779552716,0.4013474494706448,0.7028892010064642
0.9968051118210862,0.41907320349227667,0.7399672686562613
0.9968051118210862,0.43959140542444525,0.7792728705880771
0.9952076677316294,0.4614814814814815,0.8169841986860512
0.994408945686901,0.4861382272549785,0.8469643743581508
0.9912140575079872,0.5123864574731627,0.8781193828672299
0.9864217252396166,0.5411919368974584,0.9035434847578206
0.9800319488817891,0.572829131652661,0.9279187429486409
0.9720447284345048,0.6078921078921079,0.9470198513139244
0.9624600638977636,0.6464592274678111,0.9600095373558608
0.952076677316294,0.6910144927536231,0.9716162962292064
0.939297124600639,0.7419558359621451,0.980895121006476
0.9201277955271565,0.7966804979253111,0.9872683551960336
0.8977635782747604,0.8599846977811783,0.9924444241074998
0.8642172523961661,0.9263698630136986,0.9966206854804924
